Website,Country,Studio,Publisher,PC,Mobile,VR,VR only,Console,Browser games,Launched products,Revenue,Selling from a website,Distribution platform,Payment gateway or service (for direct selling websites),Project scale assessment,Simplified classification of studios,Publisher + producing its games,Custom games + studio’s own games,Making the first game,Possibly out of business
10tons.com/,Finland,10tons,?,X,X,?,?,?,?,44,?,?,X,?,4,B,?,?,?,?
11bitstudios.com/,Poland,11 bit studios,11 bit studios,X,X,?,?,X,?,12,?,?,X,?,9,A,X,?,?,?
1939games.com/,Iceland,1939 Games,?,X,?,?,?,?,?,1,?,?,X,?,7,B,?,?,?,?
1button.co/,France,1Button,?,?,X,?,?,?,?,18,?,?,-,?,-,-,?,?,?,?
1c.games/ru/,Russia,1C Games,1C,X,?,?,?,X,?,20,?,?,X,?,13,A,?,?,?,?
1ccgames.com/,UK,1CC Games,Black Shell Media,X,?,?,?,X,?,4,?,?,X,?,1,C,?,?,?,?
22cans.com/,UK,22cans,?,X,X,?,?,?,?,3,?,?,X,?,4,B,?,?,?,?
2play.se/,Sweden,2Play Studios,?,X,?,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
2zombie.com/,Russia,2 Zombie Games,?,X,X,?,?,X,?,2,?,?,X,?,2,C,?,?,?,?
34bigthings.com/,Italy,34 Big Things,34 Big Things,X,?,?,?,?,?,8,?,X,X,humblebundle.com/,5,B,X,?,?,?
3d2entertainment.com/,Spain,3D2Entertainment,?,X,?,?,?,?,?,2,?,?,X,?,4,B,?,?,?,?
3dclouds.it/,Italy,3DClouds,?,X,?,?,?,?,?,4,?,?,X,?,4,B,?,?,?,?
3division.net/newweb/index.html,Slovenia,3division,?,X,?,?,?,?,?,9,?,?,X,?,5,B,?,?,?,?
3heroesstudio.com/,Serbia,3 heroes studio,?,?,X,?,?,?,?,2,?,?,-,?,-,-,?,?,?,X
3rdeyestudios.fi/#home-section,Finland,3rd eye studios,?,X,?,X,?,?,?,1,?,?,X,?,4,B,?,?,?,?
4a-games.com/,Ukraine,4A Games,?,X,?,?,?,X,?,5,?,?,X,?,9,A,?,?,?,?
4bitgames.com/,Norway,4Bit Games,?,X,?,?,?,X,?,3,?,?,X,?,2,C,?,?,?,?
4flash0.webnode.hu/,Hungary,4Flash Interactive,?,?,X,?,?,?,?,4,?,?,-,?,-,-,?,?,?,?
4ilab.io/,Belarus,4ilab,?,X,?,X,X,?,?,4,?,?,X,?,4,B,?,?,?,?
5thplanetgames.com/,Denmark,5th Planet Games,?,?,X,?,?,?,?,5,?,?,-,?,-,-,?,?,?,?
9thimpact.com/,Ireland,9th Impact,?,?,X,?,?,?,?,5,?,?,-,?,-,-,?,?,?,?
a2zinteractive.net/,UK,a2z Interactive,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
abandonshipgame.com/,UK,Fireblade Software,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
abbeygames.com/,Netherlands,Abbey Games,?,X,?,?,?,?,?,3,?,?,X,?,4,B,?,?,?,?
abinteractive.net/,Germany,Alpha Blend Interactive,?,X,?,X,X,?,?,1,?,?,X,?,4,B,?,?,?,?
ablemagic.no/,Norway,Ablemagic,?,?,X,?,?,?,?,18,?,?,-,?,-,-,?,?,?,?
about-fun.com/home,Czech Republic,About fun,?,?,X,?,?,?,?,8,?,?,-,?,-,-,?,?,?,?
abrakam.com/,Belgium,Abrakam,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
abramelingames.com/,Spain,Abramelin Games,?,X,?,?,?,X,?,1,?,?,X,?,4,B,?,?,?,?
abraveplan.com/,UK,A Brave Plan,Bossa Studios,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
absolutist.ru/,Ukraine,Absolutist,?,X,X,?,?,?,?,55,?,X,X,payonline.ru/,3,C,?,?,?,?
absolutsoft.com/,Russia,AbsolutSoft,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
abstraction.games/,Netherlands,Abstraction,?,X,X,?,?,X,?,11,?,?,X,?,9,A,?,X,?,?
abylight.com/games/,Spain,Abylight Studio,?,?,X,?,?,?,?,38,?,?,-,?,-,-,?,?,?,?
abyteentertainment.com/,Italy,Abyte Entertainment,?,X,X,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
accidentalqueens.com/,France,Accidental Queens,?,X,?,?,?,?,?,3,?,X,X,itch.io/,1,C,?,?,?,?
acemaddox.com/,Sweden,Ace Maddox,?,X,?,?,?,X,?,1,?,?,X,?,4,B,?,?,?,?
aceviral.com/,UK,Aceviral,?,?,X,?,?,?,?,29,?,?,-,?,-,-,?,?,?,?
acidnerve.com/,UK,Acid Nerve,?,X,X,?,?,?,?,4,?,?,X,?,4,B,?,?,?,?
acidwizardstudio.com/,Poland,Acid Wizard Studio,?,X,?,?,?,X,?,1,?,?,X,?,4,B,?,?,?,?
ackehallgren.com/,Sweden,Acke Hallgren Games,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
acrylec.com/,Denmark,Acrylec Studios,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
actalogic.com/,Slovenia,Actalogic,?,X,?,?,?,?,?,16,?,?,X,?,6,B,?,?,?,?
actionreaction.games/,Finland,Action reaction games,?,?,X,?,?,?,?,1,?,?,-,?,-,-,?,?,?,?
actionsquadstudios.com/,Finland,Action Squad Studios,Daedalic Entertainment,X,?,?,?,?,?,1,?,?,X,?,8,A,?,?,?,?
