latitude,longitude,Country,Website,Studio,Publisher,PC,Mobile,VR,VR only,Console,Browser games
61.92411,25.748151,Finland,10tons.com/,10tons,?,X,X,?,?,?,?
51.919438,19.145136,Poland,11bitstudios.com/,11 bit studios,11 bit studios,X,X,?,?,X,?
64.963051,-19.020835,Iceland,1939games.com/,1939 Games,?,X,?,?,?,?,?
46.227638,2.213749,France,1button.co/,1Button,?,?,X,?,?,?,?
61.52401,105.318756,Russia,1c.games/ru/,1C Games,1C,X,?,?,?,X,?
,,UK,1ccgames.com/,1CC Games,Black Shell Media,X,?,?,?,X,?
,,UK,22cans.com/,22cans,?,X,X,?,?,?,?
60.128161,18.643501,Sweden,2play.se/,2Play Studios,?,X,?,?,?,?,?
61.52401,105.318756,Russia,2zombie.com/,2 Zombie Games,?,X,X,?,?,X,?
41.87194,12.56738,Italy,34bigthings.com/,34 Big Things,34 Big Things,X,?,?,?,?,?
40.463667,-3.74922,Spain,3d2entertainment.com/,3D2Entertainment,?,X,?,?,?,?,?
41.87194,12.56738,Italy,3dclouds.it/,3DClouds,?,X,?,?,?,?,?
46.151241,14.995463,Slovenia,3division.net/newweb/index.html,3division,?,X,?,?,?,?,?
44.016521,21.005859,Serbia,3heroesstudio.com/,3 heroes studio,?,?,X,?,?,?,?
61.92411,25.748151,Finland,3rdeyestudios.fi/#home-section,3rd eye studios,?,X,?,X,?,?,?
48.379433,31.16558,Ukraine,4a-games.com/,4A Games,?,X,?,?,?,X,?
60.472024,8.468946,Norway,4bitgames.com/,4Bit Games,?,X,?,?,?,X,?
47.162494,19.503304,Hungary,4flash0.webnode.hu/,4Flash Interactive,?,?,X,?,?,?,?
53.709807,27.953389,Belarus,4ilab.io/,4ilab,?,X,?,X,X,?,?
56.26392,9.501785,Denmark,5thplanetgames.com/,5th Planet Games,?,?,X,?,?,?,?
53.41291,-8.24389,Ireland,9thimpact.com/,9th Impact,?,?,X,?,?,?,?
,,UK,a2zinteractive.net/,a2z Interactive,?,X,?,?,?,?,?
,,UK,abandonshipgame.com/,Fireblade Software,?,X,?,?,?,?,?
52.132633,5.291266,Netherlands,abbeygames.com/,Abbey Games,?,X,?,?,?,?,?
51.165691,10.451526,Germany,abinteractive.net/,Alpha Blend Interactive,?,X,?,X,X,?,?
60.472024,8.468946,Norway,ablemagic.no/,Ablemagic,?,?,X,?,?,?,?
49.817492,15.472962,Czech Republic,about-fun.com/home,About fun,?,?,X,?,?,?,?
50.503887,4.469936,Belgium,abrakam.com/,Abrakam,?,X,?,?,?,?,?
40.463667,-3.74922,Spain,abramelingames.com/,Abramelin Games,?,X,?,?,?,X,?
,,UK,abraveplan.com/,A Brave Plan,Bossa Studios,X,?,?,?,?,?
48.379433,31.16558,Ukraine,absolutist.ru/,Absolutist,?,X,X,?,?,?,?
61.52401,105.318756,Russia,absolutsoft.com/,AbsolutSoft,?,X,?,?,?,?,?
52.132633,5.291266,Netherlands,abstraction.games/,Abstraction,?,X,X,?,?,X,?
40.463667,-3.74922,Spain,abylight.com/games/,Abylight Studio,?,?,X,?,?,?,?
41.87194,12.56738,Italy,abyteentertainment.com/,Abyte Entertainment,?,X,X,?,?,?,?
46.227638,2.213749,France,accidentalqueens.com/,Accidental Queens,?,X,?,?,?,?,?
60.128161,18.643501,Sweden,acemaddox.com/,Ace Maddox,?,X,?,?,?,X,?
,,UK,aceviral.com/,Aceviral,?,?,X,?,?,?,?
,,UK,acidnerve.com/,Acid Nerve,?,X,X,?,?,?,?
51.919438,19.145136,Poland,acidwizardstudio.com/,Acid Wizard Studio,?,X,?,?,?,X,?
60.128161,18.643501,Sweden,ackehallgren.com/,Acke Hallgren Games,?,X,?,?,?,?,?
56.26392,9.501785,Denmark,acrylec.com/,Acrylec Studios,?,X,?,?,?,?,?
46.151241,14.995463,Slovenia,actalogic.com/,Actalogic,?,X,?,?,?,?,?
61.92411,25.748151,Finland,actionreaction.games/,Action reaction games,?,?,X,?,?,?,?
61.92411,25.748151,Finland,actionsquadstudios.com/,Action Squad Studios,Daedalic Entertainment,X,?,?,?,?,?
61.92411,25.748151,Finland,actnormalgames.com/,Act Normal Games,?,X,?,?,?,?,?
40.463667,-3.74922,Spain,acucalypse.com/,Trifulca,?,X,?,?,?,?,?
,,UK,addictive247.com/,Addictive 247,?,X,X,?,?,?,?
61.92411,25.748151,Finland,addinspiration.com/,Add Inspiration,?,?,X,?,?,?,?
46.227638,2.213749,France,adictiz.com/fr/,Adictiz,?,?,X,?,?,?,?
,,UK,adoregames.com/,AdoreGames,?,?,X,?,?,?,?
61.52401,105.318756,Russia,adrovgames.com/,AdroVGames,?,X,?,?,?,?,?
46.227638,2.213749,France,advenworks.com/,Advenworks,?,?,X,?,?,?,?
,,UK,aegongames.com/,Aegon Games,?,X,?,?,?,?,?
51.165691,10.451526,Germany,aeonofsands.com/,Two Bits Kid,?,X,?,?,?,?,?
51.165691,10.451526,Germany,aesir-interactive.com/,Aesir Interactive GmbH,?,X,?,X,?,X,?
60.472024,8.468946,Norway,agens.no/,Agens,?,?,X,?,?,?,?
60.472024,8.468946,Norway,agensgames.com/,Agens games,?,?,X,?,?,?,?
46.227638,2.213749,France,ageod.com/,Ageod,Slitherine,X,?,?,?,?,?
51.165691,10.451526,Germany,agger-interactive.de/2019/e-index.htm,Agger Interactive,?,X,?,?,?,?,?
46.227638,2.213749,France,aghartastudio.com/,Agharta Studio,?,X,?,X,?,?,?
43.915886,17.679076,Bosnia and Herzegovina,ai-interactive.net/,AI Interactive,?,?,X,?,?,?,?
,,UK,aifactory.co.uk/,AI Factory,?,?,X,?,?,?,?
40.463667,-3.74922,Spain,akaonistudio.com/en/games.html,Akaoni Studio,?,?,X,?,?,?,?
61.52401,105.318756,Russia,aksweb.ru/,AK Studio,?,X,X,?,?,?,?
,,UK,alanzucconi.com/,Alan Zucconi,?,X,?,?,?,X,?
51.165691,10.451526,Germany,albiononline.com/ru/home,Sandbox Interactive,?,X,X,?,?,?,?
49.817492,15.472962,Czech Republic,aldagames.com/,Alda games,?,X,X,?,?,?,?
64.963051,-19.020835,Iceland,aldin.io/,Aldin Dynamics,?,X,?,X,X,?,?
61.52401,105.318756,Russia,alersteam.com/blog/,AlersTeam,GrabTheGames,X,?,?,?,?,?
53.709807,27.953389,Belarus,aliasworlds.com/,Aliasworlds,?,X,X,?,?,?,?
45.943161,24.96676,Romania,alienpixelstudios.com/#1,Alien Pixel Studios,?,X,?,?,?,?,?
,,UK,alightinchorus.com/,Broken Fence Games,?,X,?,?,?,?,?
38.963745,35.243322,Turkey,alkamegames.com/,AlkameGames,?,X,X,X,?,?,?
46.227638,2.213749,France,alkemi-games.com/,Alkemi,?,X,?,?,?,?,?
51.919438,19.145136,Poland,all-those-moments.com/,All Those Moments,Ultimate Games S.A.,X,?,?,?,?,?
46.227638,2.213749,France,almostgamestudio.com/,Almost Games Studio,Plug In Digital,X,?,?,?,?,?
,,UK,alphastrikegames.com/,Alpha Strike Games,?,X,X,?,?,?,?
40.463667,-3.74922,Spain,alpixelgames.com/,AlPixel Games,?,X,?,?,?,?,?
61.52401,105.318756,Russia,altar.games/ru/,ALTAR Games,?,X,?,?,?,?,?
40.463667,-3.74922,Spain,alteredmatter.com/,Altered Matter,Akupara Games,X,?,?,?,X,?
61.52401,105.318756,Russia,alternativa.games/,Alternativ Games,?,X,X,?,?,?,?
,,UK,alternativesoftware.com/,Alternative Software,Alternative Software,X,X,?,?,X,?
44.016521,21.005859,Serbia,altfuture.gg/,Altfuture,?,X,?,X,?,?,?
49.817492,15.472962,Czech Republic,amanita-design.net/,Amanita Design,?,X,X,?,?,?,?
61.52401,105.318756,Russia,ambidexter.io/,Ambidexter,?,?,X,?,?,?,?
47.516231,14.550072,Austria,ambieragames.com/,Ambiera,?,X,?,?,?,?,?
39.399872,-8.224454,Portugal,amplify.pt/,Amplify Creations,?,X,?,?,?,X,?
46.227638,2.213749,France,amplitude-studios.com/,Amplitude Studios,Sega,X,?,?,?,?,?
48.379433,31.16558,Ukraine,amrita.studio/,Amrita Studio,?,X,?,?,?,?,?
61.52401,105.318756,Russia,amt-games.com/,AMT games,?,?,X,?,?,?,?
,,UK,amusedsloth.com/,Amused Sloth,?,?,X,?,?,?,?
46.227638,2.213749,France,anarkisgaming.com/,Anarkis Gaming,?,X,?,?,?,?,?
60.128161,18.643501,Sweden,angrydemonstudio.com/,Angry Demon Studio,?,X,?,?,?,?,?
45.943161,24.96676,Romania,angrymobgames.com/,Angry Mob Games,?,X,X,?,?,X,?
51.165691,10.451526,Germany,animationarts.de/,Animation Arts GmbH,?,X,X,?,?,?,?
61.92411,25.748151,Finland,aniway.fi/,Aniway,?,?,X,?,?,?,?
46.227638,2.213749,France,ankama.com/en,Ankama,?,X,X,?,?,?,?
,,UK,anotherplaceproductions.com/,Another place productions,?,?,X,?,?,?,?
